header,,,,,,,footer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
servers,threads count,concurrency,run time,window,set_prop,get_prop,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std
10.0.0.8:11212,41,41,30s,10k,set_prop=0.01,get_prop=0.99,652245,6610,0,15405950,107666697,661738,6702,0,15629516,109233778,658945,6680,0,15564688,108772600,666306,6750,0,15737830,109987725,650782,6593,0,15371182,107425009,652205,155,32456,1862,1190.97,2182.85,6609,202,20369,1897,1216.97,2203,658814,155,32456,1862,1191.23,2183.36,661698,151,26782,1838,1202.97,2096.13,6701,176,16233,1859,1214.94,2113.51,668399,151,26782,1838,1203.09,2096.49,658904,152,35376,1846,1197.93,2128.57,6680,213,16187,1899,1226.28,2157.06,665584,152,35376,1847,1198.21,2128.46,666265,137,27400,1826,1205.92,2057.03,6750,180,15970,1832,1212.05,2052.31,673015,137,27400,1826,1205.98,2057.03,650741,147,211158,1870,1217.59,2168.64,6593,168,16959,1912,1244.62,2178.64,657334,147,211158,1870,1217.85,2169.1
10.0.0.8:11212,43,43,30s,10k,set_prop=0.01,get_prop=0.99,669752,6790,0,15819860,110556462,677898,6867,0,16011530,111901011,666575,6755,0,15744366,110031977,659620,6686,0,15580454,108883693,679648,6886,0,16053070,112189913,669710,146,27122,1903,1268.81,2102.27,6789,171,15593,1928,1290.73,2078.3,676499,146,27122,1903,1269.03,2102.26,677855,149,25072,1884,1241.06,2121.23,6867,236,18241,1925,1268.33,2148.42,684722,149,25072,1885,1241.33,2120.98,666533,131,32864,1911,1232.87,2180.5,6754,207,19278,1915,1233.06,2182.61,673287,131,32864,1911,1232.87,2180.56,659577,134,36569,1940,1223.56,2280.01,6686,198,23136,1986,1259.66,2295.26,666263,134,36569,1940,1223.92,2280.56,679605,151,19975,1876,1213.67,2136.99,6886,197,15280,1880,1221.85,2132.51,686491,151,19975,1876,1213.75,2136.98
10.0.0.8:11212,45,45,30s,10k,set_prop=0.01,get_prop=0.99,683475,6926,0,16143482,112821515,666698,6756,0,15747326,110051793,655330,6643,0,15479150,108175169,644653,6533,0,15226656,106412584,684452,6937,0,16166598,112982965,683431,118,26216,1953,1256.14,2217.25,6925,188,21288,1985,1281.44,2233.29,690356,118,26216,1954,1256.39,2216.82,666653,148,41408,1998,1270.73,2291.8,6756,201,19267,2039,1302.36,2294.07,673409,148,41408,1998,1271.04,2292.18,655285,148,34940,2034,1299.6,2337.13,6643,187,20056,2100,1336.42,2386.75,661928,148,34940,2035,1299.97,2337.35,644608,153,43290,2068,1281.58,2456.78,6533,212,39492,2083,1289.61,2553,651141,153,43290,2068,1281.66,2457.89,684409,150,23879,1950,1239.96,2212.68,6935,179,13963,1977,1258.68,2219.71,691344,150,23879,1950,1240.14,2212.99
10.0.0.8:11212,47,47,30s,10k,set_prop=0.01,get_prop=0.99,683167,6923,0,16136320,112770184,672976,6821,0,15895798,111087853,649489,6585,0,15341324,107210610,683634,6927,0,16147096,112847428,669620,6788,0,15816686,110533849,683120,141,33773,2038,1301.86,2302.35,6923,191,31345,2084,1330.81,2341.98,690043,141,33773,2039,1302.15,2302.28,672929,161,41084,2071,1329.61,2338.51,6821,208,26207,2112,1359.68,2366.87,679750,161,41084,2071,1329.91,2339.16,649442,135,79997,2138,1318.79,2545.38,6585,170,31519,2216,1351.79,2631.53,656027,135,79997,2139,1319.11,2546.09,683588,136,36829,2040,1296.89,2313.95,6926,207,15776,2101,1331.46,2347.33,690514,136,36829,2040,1297.24,2314.84,669573,158,52879,2079,1313.45,2402.25,6788,176,23049,2167,1363.25,2468.52,676361,158,52879,2080,1313.94,2402.84
10.0.0.8:11212,49,49,30s,10k,set_prop=0.01,get_prop=0.99,677212,6863,0,15995666,111786799,686269,6959,0,16210004,113282286,688466,6978,0,16261654,113644629,678896,6883,0,16035914,112064819,692953,7026,0,16368048,114385368,677163,157,46753,2142,1369.62,2395.98,6863,192,21654,2133,1383.1,2332.66,684026,157,46753,2142,1369.75,2395.28,686222,143,59959,2117,1312.39,2479.76,6957,161,22395,2089,1310.19,2402.41,693179,143,59959,2117,1312.37,2478.76,688417,141,32217,2111,1325.36,2388.9,6978,201,20601,2154,1350.37,2459.68,695395,141,32217,2111,1325.61,2390,678847,144,44539,2139,1347.3,2448.77,6883,203,20133,2205,1386.72,2476.06,685730,144,44539,2139,1347.69,2449.63,692904,128,47965,2097,1323.64,2389.06,7026,210,25567,2154,1361.8,2426.75,699930,128,47965,2097,1324.01,2389.95
10.0.0.8:11212,51,51,30s,10k,set_prop=0.01,get_prop=0.99,693315,7027,0,16376128,114444776,679446,6887,0,16048472,112155428,667069,6767,0,15757116,110112106,693371,7031,0,16377862,114454205,687958,6974,0,16249794,113560447,693264,142,58025,2176,1343.78,2520.59,7027,202,33551,2296,1409.75,2624.44,700291,142,58025,2177,1344.42,2521.85,679396,150,48210,2223,1387.34,2540.12,6886,173,32295,2250,1411.25,2527.26,686282,150,48210,2223,1387.58,2540.23,667018,138,47183,2267,1398.21,2645.17,6767,207,22215,2299,1418.42,2632.29,673785,138,47183,2267,1398.41,2645.32,693321,147,33498,2178,1363.88,2467.75,7030,224,23406,2248,1403.71,2521.28,700351,147,33498,2179,1364.27,2468.04,687907,142,39975,2200,1381.92,2495.97,6974,223,19886,2219,1400.38,2477.58,694881,142,39975,2200,1382.11,2495.95
10.0.0.8:11212,53,53,30s,10k,set_prop=0.01,get_prop=0.99,688193,6978,0,16255560,113598924,667030,6761,0,15755254,110105293,703927,7137,0,16627148,116196306,676290,6861,0,15974836,111634150,701674,7115,0,16574062,115824385,688140,161,42537,2282,1430.86,2565.68,6978,196,23305,2309,1453.95,2588.23,695118,161,42537,2282,1431.09,2566.15,666977,159,57577,2356,1453.12,2727.33,6761,193,37297,2360,1468,2736.74,673738,159,57577,2356,1453.27,2727.46,703874,157,51131,2227,1414.84,2461.23,7137,210,25937,2250,1449.57,2429.05,711011,157,51131,2227,1415.19,2461.11,676238,143,58544,2321,1432.59,2706.82,6860,216,37345,2360,1463.74,2751.03,683098,143,58544,2321,1432.9,2707.6,701621,151,45376,2239,1407.8,2525.71,7115,186,26500,2214,1404.28,2512.83,708736,151,45376,2239,1407.77,2525.36
10.0.0.8:11212,55,55,30s,10k,set_prop=0.01,get_prop=0.99,701543,7112,0,16570656,115802416,696235,7061,0,16445720,114926188,673690,6833,0,15913112,111204596,691580,7015,0,16335950,114157745,708462,7182,0,16733936,116944768,701488,148,64859,2324,1453.55,2617.18,7112,205,36100,2314,1450.54,2615.53,708600,148,64859,2324,1453.52,2617.07,696180,160,60635,2343,1466.12,2636.86,7061,193,27442,2354,1477.86,2639.01,703241,160,60635,2343,1466.24,2636.98,673636,154,69269,2417,1484.95,2815.16,6832,223,37335,2491,1532.4,2850.97,680468,154,69269,2417,1485.42,2816.17,691525,127,86961,2356,1435.91,2802.24,7015,219,37266,2415,1485.21,2840.12,698540,127,86961,2357,1436.4,2802.29,708408,145,44158,2301,1443.43,2549.75,7181,235,21811,2346,1482.47,2535.98,715589,145,44158,2301,1443.82,2550.02
10.0.0.8:11212,57,57,30s,10k,set_prop=0.01,get_prop=0.99,713624,7237,0,16856256,117796608,685649,6953,0,16195504,113178304,687040,6966,0,16228186,113407923,710926,7210,0,16792580,117351222,713036,7234,0,16842978,117699407,713568,150,60480,2369,1484.76,2610.58,7236,194,26908,2432,1518.17,2674.81,720804,150,60480,2370,1485.09,2610.9,685592,141,75653,2460,1505.47,2868.18,6953,164,38133,2575,1568.48,2974.9,692545,141,75653,2462,1506.09,2868.57,686983,139,79291,2455,1478.07,2941.15,6966,160,78532,2400,1447.6,3068.9,693949,139,79291,2454,1477.76,2942.84,710870,128,37526,2375,1475.73,2594.28,7209,209,22171,2384,1500.51,2550.1,718079,128,37526,2375,1475.98,2593.92,712979,146,68601,2369,1470.18,2644.92,7234,194,31464,2387,1467.58,2683.6,720213,146,68601,2369,1470.16,2645.48
10.0.0.8:11212,59,59,30s,10k,set_prop=0.01,get_prop=0.99,716418,7268,0,16922778,118257379,718504,7287,0,16971572,118601878,722732,7329,0,17071308,119299834,710872,7210,0,16791486,117341825,683672,6933,0,16148766,112851609,716359,144,75095,2445,1515.36,2763.22,7268,221,32319,2437,1528.53,2706.44,723627,144,75095,2445,1515.49,2762.58,718446,112,51339,2431,1497.08,2702.55,7286,192,30284,2523,1547.14,2793.36,725732,112,51339,2432,1497.57,2703.42,722674,147,86031,2418,1497.45,2707.88,7328,193,29947,2451,1517.18,2713.18,730002,147,86031,2419,1497.64,2707.34,710813,167,52290,2456,1527.14,2744.25,7210,221,24417,2448,1532.01,2699.57,718023,167,52290,2456,1527.19,2743.73,683613,136,120608,2552,1531.28,3167.82,6933,187,48695,2607,1566.19,3128.03,690546,136,120608,2553,1531.63,3167.06
10.0.0.8:11212,61,61,30s,10k,set_prop=0.01,get_prop=0.99,710419,7207,0,16780720,117267040,708664,7187,0,16739186,116976991,704886,7153,0,16650630,116353349,685925,6959,0,16202310,113223389,711692,7219,0,16810922,117476867,710360,140,70921,2540,1557.4,2877.85,7205,198,30654,2571,1592.06,2804.49,717565,140,70921,2540,1557.75,2877.39,708603,150,56275,2540,1531.61,2883.22,7187,202,27237,2604,1589.19,2826.53,715790,150,56275,2541,1532.18,2882.35,704825,144,67309,2556,1485.42,3005.3,7153,177,36317,2619,1523.89,3029.88,711978,144,67309,2557,1485.8,3005.24,685865,137,134520,2634,1483.74,3444.43,6958,170,55513,2684,1507.74,3496.16,692823,137,134520,2634,1483.98,3445.34,711631,147,56662,2535,1559.65,2847.47,7219,194,33082,2585,1581.41,2929.01,718850,147,56662,2536,1559.87,2847.86
10.0.0.8:11212,63,63,30s,10k,set_prop=0.01,get_prop=0.99,698902,7095,0,16509382,115365509,695249,7056,0,16422914,114762295,698811,7089,0,16506558,115350289,695659,7060,0,16432436,114830134,727262,7381,0,17179200,120047040,698841,164,76022,2668,1630.7,3062.59,7093,225,45811,2722,1678.65,3069.44,705934,164,76022,2669,1631.18,3062.26,695187,152,132125,2683,1597.38,3284.3,7055,213,64407,2732,1628.29,3400.61,702242,152,132125,2683,1597.69,3285.89,698749,161,85984,2677,1609.56,3167.98,7088,214,40966,2787,1665.94,3249.24,705837,161,85984,2678,1610.12,3168.91,695598,146,95201,2683,1623.73,3192.08,7058,188,55435,2725,1652.79,3249.36,702656,146,95201,2684,1624.02,3192.18,727200,152,43459,2574,1581.35,2837.94,7380,205,31447,2633,1625.85,2854.23,734580,152,43459,2574,1581.79,2838.65
10.0.0.8:11212,65,65,30s,10k,set_prop=0.01,get_prop=0.99,710886,7210,0,16791662,117343145,679678,6902,0,16055806,112191361,689874,6999,0,16295500,113874634,701508,7118,0,16570626,115795039,726356,7367,0,17157122,119896951,710821,148,70688,2705,1670.55,2982.85,7210,180,43608,2764,1717.24,2980.84,718031,148,70688,2705,1671.02,2983.37,679613,147,128487,2828,1684.75,3539.16,6902,233,62658,2902,1733.9,3609.06,686515,147,128487,2828,1685.24,3540.47,689810,156,110096,2787,1626.3,3563.95,6998,239,49528,2887,1696.74,3575.83,696808,156,110096,2788,1627,3564.08,701443,144,90182,2740,1606.83,3331.84,7118,170,69974,2759,1637.61,3466.01,708561,144,90182,2740,1607.14,3333.37,726291,162,51648,2652,1611.12,2955.44,7367,213,46054,2704,1641.95,3002.34,733658,162,51648,2652,1611.42,2956.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 SERVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.0.8:11212,1,1,30s,10k,set_prop=0.01,get_prop=0.99,37315,377,0,881228,6159826,36667,371,0,866012,6052858,35207,356,0,831492,5811838,34262,347,0,809262,5655841,35259,357,0,832796,5820426,37314,136,52573,797,516.5,1379.02,377,182,8061,763,492.8,1319.49,37691,136,52573,797,516.26,1378.23,36666,136,66309,811,517.3,1441.81,371,157,7704,786,514.52,1305.33,37037,136,66309,811,517.27,1440.35,35206,137,14659,843,527.93,1433.1,356,183,8853,953,553.52,1687.64,35562,137,14659,844,528.18,1435.94,34261,133,10127,866,531.57,1495.69,347,149,8145,990,592.76,1657.87,34608,133,10127,868,532.15,1496.99,35258,137,63866,841,528.36,1472.21,357,180,8130,1047,580.93,1820.11,35615,137,63866,843,528.86,1476.26
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,642806,6525,0,15184324,106104630,688805,6991,0,16270862,113698193,675779,6859,0,15963170,111547847,687328,6978,0,16236288,113454384,682389,6922,0,16118670,112639001,642742,142,107915,2945,1670.95,3645.98,6525,176,65626,3045,1725.42,3966.33,649267,142,107915,2946,1671.49,3649.35,688741,142,89971,2756,1609.5,3291.55,6991,172,69731,2804,1647.95,3307.71,695732,142,89971,2756,1609.88,3292.12,675715,154,84422,2808,1642.13,3232.02,6859,186,33567,2832,1670.77,3185.48,682574,154,84422,2809,1642.42,3230.9,687264,161,113539,2761,1614.91,3133.54,6978,172,43982,2749,1633.66,3047.47,694242,161,113539,2761,1615.1,3132.58,682325,131,99822,2779,1618.65,3206.16,6922,202,64723,2880,1682.18,3430.22,689247,131,99822,2780,1619.27,3208.51
10.0.0.8:11212,3,3,30s,10k,set_prop=0.01,get_prop=0.99,94393,955,0,2229380,15581990,94755,959,0,2237984,15641752,95143,962,0,2247000,15705796,106750,1080,0,2521234,17621895,95130,962,0,2246714,15703651,94390,142,78122,946,602.94,1606.84,955,184,7951,889,596.21,1403.14,95345,142,78122,945,602.87,1605.18,94752,139,31718,942,603.8,1551.8,959,181,8374,944,614.03,1512.75,95711,139,31718,942,603.9,1551.42,95140,148,12431,937,597.05,1531.5,962,177,12633,961,600.73,1600.93,96102,148,12633,938,597.08,1531.74,106747,133,87883,838,566.75,1423.96,1080,196,8821,910,600.71,1453.98,107827,133,87883,839,567.08,1424.11,95127,143,140193,937,602.55,1651.14,962,197,140120,1020,598.43,4695.68,96089,143,140193,938,602.51,1708.58
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,655276,6650,0,15478526,108163337,674744,6848,0,15938502,111377141,658845,6686,0,15562804,108752510,618813,6280,0,14617140,102143982,672666,6826,0,15889404,111033938,655213,158,84870,2892,1668.62,3415.62,6649,205,62718,2960,1733.54,3390.25,661862,158,84870,2893,1669.26,3415.1,674681,154,64910,2811,1635.49,3215.36,6847,214,36583,2800,1648.58,3157.09,681528,154,64910,2811,1635.62,3214.68,658782,148,90481,2884,1651.12,3345.75,6685,172,33909,3004,1701.46,3489.61,665467,148,90481,2886,1651.62,3346.56,618750,128,154882,3073,1664.42,4090.24,6279,183,111927,3179,1718.49,4446.11,625029,128,154882,3074,1664.96,4094.03,672602,132,140342,2819,1682.46,3320.81,6826,178,105145,2807,1685.01,3224.65,679428,132,140342,2819,1682.49,3319.76
10.0.0.8:11212,5,5,30s,10k,set_prop=0.01,get_prop=0.99,145735,1475,0,3442060,24057250,141043,1428,0,3331316,23282694,154917,1567,0,3658784,25573016,165542,1675,0,3909814,27327005,165031,1670,0,3897772,27242650,145730,144,83671,1025,680.7,1661.19,1475,172,9055,1027,687.52,1548.02,147205,144,83671,1025,680.77,1660.1,141038,132,47908,1054,671.44,1690.51,1428,177,12620,1150,705.22,1802.19,142466,132,47908,1055,671.77,1691.66,154912,142,19035,960,632.64,1508.74,1567,157,8786,948,633.55,1487.52,156479,142,19035,960,632.65,1508.45,165537,130,20772,899,609.71,1408.69,1675,195,8777,915,629.07,1374.26,167212,130,20772,899,609.9,1408.45,165026,134,214332,901,609.86,1798.18,1670,173,10748,914,621.13,1420.41,166696,134,214332,901,609.97,1794.85
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,640686,6502,0,15133866,105754803,667527,6771,0,15767546,110185563,654344,6648,0,15457702,108009541,622985,6323,0,14715804,102832706,617201,6262,0,14578934,101877701,640623,163,84469,2961,1737.32,3480.27,6501,179,47473,3081,1801.4,3525.59,647124,163,84469,2963,1737.95,3480.07,667463,145,85419,2853,1674.91,3216.72,6771,197,53530,2946,1735.16,3259.02,674234,145,85419,2854,1675.5,3217.1,654281,135,83401,2901,1673.42,3310.35,6647,168,44462,2957,1715.47,3328.79,660928,135,83401,2902,1673.84,3310.15,622922,162,126579,3046,1689.65,3716.32,6322,200,50797,3157,1765.4,3740.48,629244,162,126579,3047,1690.4,3716.67,617137,142,214654,3075,1695.85,4193.34,6262,214,213257,3154,1709.52,5536.08,623399,142,214654,3076,1695.98,4208.81
10.0.0.8:11212,7,7,30s,10k,set_prop=0.01,get_prop=0.99,212450,2149,0,5017586,35070287,211662,2141,0,4998970,34940203,205870,2083,0,4862266,33984059,218786,2215,0,5167538,36116255,227365,2301,0,5370036,37532478,212443,117,190833,980,661.43,1795.07,2149,166,26480,1017,675.06,1598.36,214592,117,190833,980,661.56,1793.41,211655,136,121882,983,672.6,1599.34,2141,165,16893,1047,703.29,1571.35,213796,136,121882,984,672.9,1598.85,205863,131,72268,1015,703.1,1529.99,2083,177,15549,1056,727.16,1540.7,207946,131,72268,1015,703.34,1530.37,218779,130,17306,954,658.14,1429.88,2215,185,9747,1027,682.71,1563.13,220994,130,17306,955,658.38,1431.11,227358,124,39502,919,636.42,1395,2301,176,8840,905,641.9,1305.28,229659,124,39502,919,636.47,1394.04
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,643879,6537,0,15209712,106281928,672475,6825,0,15885042,111002415,663936,6738,0,15683264,109592784,669827,6799,0,15822488,110565444,655679,6655,0,15488192,108229872,643816,151,196386,2947,1694.46,3822.04,6536,161,195872,3009,1720.72,4127.47,650352,151,196386,2947,1694.72,3825.71,672411,146,126021,2820,1689.22,3241.75,6825,178,41814,2868,1722.84,3103.05,679236,146,126021,2821,1689.56,3239.94,663872,161,72578,2865,1703.12,3275.23,6738,235,72537,2932,1751.72,3391.16,670610,161,72578,2866,1703.6,3276.13,669764,160,52858,2834,1665.25,3139.09,6798,216,50247,2814,1663.21,3139.24,676562,160,52858,2834,1665.23,3138.91,655616,150,56840,2894,1674.54,3249.77,6654,182,53612,2950,1716.18,3318.63,662270,150,56840,2895,1674.95,3250.08
10.0.0.8:11212,9,9,30s,10k,set_prop=0.01,get_prop=0.99,274824,2781,0,6490890,45366723,266768,2699,0,6300538,44036827,263028,2662,0,6212338,43419431,263801,2669,0,6230464,43547032,258506,2614,0,6105174,42672917,274815,127,51300,975,684.14,1425.05,2781,148,11052,1012,695.7,1484.07,277596,127,51300,976,684.25,1425.22,266759,131,12402,1008,689.04,1473.07,2699,167,10059,996,689.46,1424.82,269458,131,12402,1008,689.05,1472.51,263019,131,225527,1020,704.17,2036.39,2662,163,14026,984,698.4,1408.96,265681,131,225527,1020,704.11,2030.88,263792,140,31855,1015,696.21,1491.14,2669,171,8794,1056,712.18,1538.44,266461,140,31855,1015,696.37,1491.9,258497,120,16739,1039,707.5,1515.41,2614,198,9668,1055,718.29,1518.92,261111,120,16739,1039,707.61,1515.56
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,646412,6562,0,15269576,106699916,658809,6685,0,15561990,108746405,667080,6771,0,15757712,110111808,672233,6824,0,15879282,110962791,680258,6904,0,16068908,112287242,646348,142,78262,2936,1697.64,3357.95,6562,196,35290,2990,1744.03,3343.38,652910,142,78262,2936,1698.1,3358.28,658745,157,76910,2882,1700.02,3169.61,6685,195,22999,2944,1748.25,3130.32,665430,157,76910,2883,1700.5,3168.88,667016,162,225621,2858,1683.53,3888.75,6771,218,225236,2863,1702.46,4058.25,673787,162,225621,2858,1683.72,3890.52,672171,168,56304,2835,1683.57,3091.35,6822,191,47733,2879,1716.69,3197.97,678993,168,56304,2836,1683.9,3091.93,680194,164,83788,2797,1672.96,3067.77,6904,258,41906,2879,1720.87,3163.08,687098,164,83788,2797,1673.43,3069.5
10.0.0.8:11212,11,11,30s,10k,set_prop=0.01,get_prop=0.99,336560,3406,0,7948900,55557990,310240,3139,0,7327278,51212897,307910,3118,0,7272658,50828279,305548,3092,0,7216534,50438341,300486,3040,0,7096850,49602695,336550,128,11400,972,706.02,1323.53,3405,166,9023,991,715.41,1345.76,339955,128,11400,972,706.11,1323.89,310229,134,21126,1054,716.62,1525.56,3139,140,8414,1059,729.69,1491.9,313368,134,21126,1055,716.75,1524.57,307899,138,89047,1062,720.64,1601.35,3118,178,16786,1118,736.48,1663.04,311017,138,89047,1062,720.8,1602.36,305537,137,28866,1070,724.27,1567.8,3092,206,28825,1098,739.22,1650.87,308629,137,28866,1071,724.41,1568.16,300475,136,86554,1089,751.01,1637.54,3040,159,13297,1091,756.1,1537.57,303515,136,86554,1089,751.06,1636.58
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,646465,6565,0,15271084,106708842,674526,6844,0,15933204,111340982,657945,6684,0,15542546,108604151,664311,6743,0,15692176,109654856,660305,6704,0,15597804,108993554,646402,158,55863,2935,1728.6,3193.51,6564,202,26576,3005,1776.33,3217.48,652966,158,55863,2936,1729.08,3193.48,674462,154,70098,2818,1686.89,3032.21,6844,209,70073,2848,1719.71,3128.15,681306,154,70098,2818,1687.22,3033.47,657883,151,89580,2885,1705.51,3229.53,6682,220,24400,2939,1748.91,3143.49,664565,151,89580,2885,1705.94,3229.16,664248,139,67230,2857,1697.26,3128.9,6742,192,37589,2914,1744.96,3140.5,670990,139,67230,2857,1697.73,3129.54,660242,131,86827,2875,1718.3,3311.83,6703,235,86293,2936,1773.61,3497.81,666945,131,86827,2875,1718.85,3314.29
10.0.0.8:11212,13,13,30s,10k,set_prop=0.01,get_prop=0.99,384751,3893,0,9087116,63512914,350317,3545,0,8273888,57828520,338699,3427,0,7999412,55910606,340792,3451,0,8049298,56256143,333070,3370,0,7866454,54981365,384738,135,41825,1004,739.23,1361.38,3893,166,41749,1036,753.71,1480.07,388631,135,41825,1005,739.37,1362.12,350304,131,119806,1104,755.06,1826.08,3545,189,14164,1090,759.39,1513.84,353849,131,119806,1104,755.1,1823.13,338686,131,266469,1145,761.3,2337.01,3427,190,10269,1180,786.26,1621.19,342113,131,266469,1146,761.55,2330.61,340779,140,226245,1135,767.71,2224.7,3451,146,10884,1131,779.93,1561.63,344230,140,226245,1135,767.83,2219.01,333057,134,37663,1160,764.9,1680.55,3370,155,11566,1178,775.87,1666.08,336427,134,37663,1160,765.01,1680.53
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,652891,6627,0,15422514,107769471,646328,6558,0,15267088,106686024,652449,6625,0,15412332,107696682,625491,6353,0,14775598,103246593,649915,6598,0,15352264,107278356,652827,160,120583,2909,1721.2,3576.92,6627,224,40511,2874,1732.57,3080.35,659454,160,120583,2908,1721.32,3572.8,646264,159,84758,2939,1738.65,3237.72,6558,199,40789,3007,1788.63,3250.76,652822,159,84758,2939,1739.14,3238.48,652386,154,266376,2909,1719.92,4353.08,6624,249,51597,2914,1756.82,3128.99,659010,154,266376,2909,1720.29,4342.53,625429,159,226022,3035,1740.11,4047.81,6351,213,27995,3078,1779.8,3364.5,631780,159,226022,3036,1740.5,4041.09,649852,156,112431,2913,1710.33,3305.25,6597,200,73101,2973,1749.73,3459.56,656449,156,112431,2913,1710.72,3307.37
10.0.0.8:11212,15,15,30s,10k,set_prop=0.01,get_prop=0.99,429322,4344,0,10139794,70870407,371767,3762,0,8780464,61369176,381992,3865,0,9021894,63057125,384426,3891,0,9079602,63458943,373987,3783,0,8832664,61735644,429307,137,13135,1038,741.21,1388.35,4344,181,12995,1058,747.31,1430.81,433651,137,13135,1038,741.27,1388.93,371752,127,11723,1204,800.28,1676.86,3762,179,10444,1213,813.34,1672.02,375514,127,11723,1204,800.41,1676.87,381977,130,27555,1168,791.26,1623.54,3865,172,15991,1225,814.47,1706.48,385842,130,27555,1168,791.49,1624.81,384411,147,132148,1162,788.61,1806.58,3891,187,13839,1180,798.17,1649.52,388302,147,132148,1162,788.7,1805.19,373972,115,124663,1193,793.77,2032.41,3783,191,15314,1194,800.29,1663.93,377755,115,124663,1193,793.84,2029.06
10.0.0.8:11212,64,64,30s,10k,set_prop=0.01,get_prop=0.99,617255,6269,0,14581104,101886824,641638,6515,0,15157028,105911830,612954,6226,0,14479602,101176815,643560,6530,0,15201712,106229080,658349,6678,0,15550750,108670449,617192,161,82085,3075,1792.05,3470.46,6268,191,73539,3154,1828.89,3657.53,623460,161,82085,3076,1792.42,3472.22,641574,157,92768,2961,1762.15,3226.74,6515,228,43887,2927,1762.22,3192.54,648089,157,92768,2960,1762.16,3227,612891,151,119453,3099,1781.77,3491.53,6225,198,62671,3203,1837.74,3800.13,619116,151,119453,3100,1782.32,3494.82,643496,165,133018,2949,1762.89,3556.16,6530,175,119574,2929,1759.85,3449.63,650026,165,133018,2949,1762.86,3554.94,658285,163,97124,2882,1695.27,3650.35,6678,213,96873,2888,1700.07,3730.12,664963,163,97124,2882,1695.32,3651.21
10.0.0.8:11212,17,17,30s,10k,set_prop=0.01,get_prop=0.99,440249,4456,0,10398064,72673928,402375,4072,0,9503396,66421646,399066,4040,0,9425478,65875405,404672,4096,0,9557770,66800843,404924,4101,0,9564114,66842463,440232,124,85768,1147,785.9,1749.45,4456,187,18318,1178,800.96,1612.62,444688,124,85768,1147,786.05,1748.33,402358,134,43090,1255,834.87,1726.2,4072,199,36068,1303,857.03,1834.96,406430,134,43090,1256,835.09,1726.95,399049,147,50722,1266,840.78,1762.91,4040,198,10590,1350,872.74,1839.27,403089,147,50722,1267,841.09,1763.59,404655,130,50979,1248,823.25,1755.62,4096,178,50892,1247,818.97,1878.35,408751,130,50979,1248,823.21,1756.88,404907,119,73843,1248,820.59,1789.1,4101,176,14117,1251,825.62,1728.59,409008,119,73843,1248,820.64,1788.53
